mgi_symbol uniprotswissprot
STAT1 P42225
STAT4 P42228
HIST1H1B P43276
HIST1H1D P43277
CREBBP P45481
KLF1 P46099
SOX2 P48432
CUX1 P53564
CEBPZ P53569
MAZ P56671
TCEB2 P62869
AES P63002
HDAC2 P70288
GFI1 P70338
OTX2 P80206
TCEB1 P83940
NFATC3 P97305
NPAS2 P97460
DAB2 P98078
IKZF1 Q03267
RUNX1 Q03347
PRRX2 Q06348
NFE2 Q07279
MLXIP Q2VPU4
GTF3C3 Q3TMP1
SSBP4 Q3U4B1
ZBTB16 Q3UQ17
SRRM1 Q52KI8
PMS1 Q5NC83
VEZF1 Q5SXC4
SKI Q60698
HTT Q60857
MXD4 Q60948
NCOR1 Q60974
FOXD3 Q61060
ZFML Q61464
DDX5 Q61656
CREB3 Q61817
SUPT6H Q62383
SP4 Q62445
HIST1H2BB Q64475
SMARCA2 Q6DIC0
WHSC1L1 Q6P2L6
DDX58 Q6Q899
DOT1L Q6XZL8
ZNRD1 Q791N7
NAA15 Q80UM3
HMGXB4 Q80Y32
TRRAP Q80YV3
ZFP398 Q8BV16
TAF5 Q8C092
TCEB3 Q8CB77
CREB5 Q8K1L0
HBP1 Q8R316
AGAP3 Q8VHH5
NR3C2 Q8VII8
SUPT16H Q920B9
LASS2 Q924Z4
TRPS1 Q925H1
PLAGL2 Q925T4
TCF19 Q99KJ5
ABTB1 Q99LJ2
HDAC9 Q99N13
LASS5 Q9D6K9
PHF10 Q9D8M7
RBMXL2 Q9DAE2
GTF2H1 Q9DBA9
TBX18 Q9EPZ6
SALL1 Q9ER74
MLLT1 Q9ERL0
TFAP4 Q9JIZ5
NCOA6 Q9JL19
APBB1 Q9QXJ1
ARNTL Q9WTL8
STAT2 Q9WVL2
FXR2 Q9WVR4
HDAC5 Q9Z2V6
ZFP236 S4R299
ATM Q62388
BRCA2 P97929
CHD7 A2AJK6
ASH1L Q99MY8
EP400 Q8CHI8
MLL2 O08550
ZFHX3 Q61329
SPEN Q62504
SUPT4H1 D6RHM5
